Reference,Value,Footprint,LCSC
C1,.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
C2,.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
C5,.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
C6,.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
C3,10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
C4,10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
D1,WS2812B,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Worldsemi-WS2812B-B_C114586.html
D2,WS2812B,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Worldsemi-WS2812B-B_C114586.html
D3,WS2812B,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Worldsemi-WS2812B-B_C114586.html
D4,WS2812B,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Worldsemi-WS2812B-B_C114586.html
D5,WS2812B,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Worldsemi-WS2812B-B_C114586.html
D6,WS2812B,LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Worldsemi-WS2812B-B_C114586.html
J3,EXT,kicad:RIBBON6SMT,https://lcsc.com/product-detail/Pin-Header-Female-Header_BOOMELE-Boom-Precision-Elec-C192301_C192301.html
J1,PGM,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,https://lcsc.com/product-detail/Pin-Header-Female-Header_MINTRON-MTP125-1105S1_C358687.html
J2,USB_B_Micro,Connector_USB:USB_Micro-B_Molex-105017-0001,https://lcsc.com/product-detail/USB-Connectors_SHOU-HAN-MICRO5-9mmusb_C393940.html
M1,AM4311T42A0,kicad:PATRON-MIC-AM4311T42A0,https://lcsc.com/product-detail/Electret-Condenser-Microphone_Partron_AM4311T42A0_Partron-AM4311T42A0_C267056.html
R2,100k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
R1,10k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
R4,10k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
R5,10k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
R6,10k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
R3,1M,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,USE_STOCK
SW1,TACTILE,kicad:TACTILE10B,https://lcsc.com/product-detail/Tactile-Switches_SHOU-HAN-TS665TP_C412375.html
U2,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_Slkor-SLKORMICRO-Elec-AMS1117-3-3_C426566.html
U4,LTR-553ALS-WA,kicad:LTR-553ALS-WA-LITE-ON-AMBIENT,https://lcsc.com/product-detail/New-Arrivals_Lite-On-LTR-553ALS-WA_C408178.html
U1,STM32F042C4Tx,Package_QFP:LQFP-48_7x7mm_P0.5mm,https://lcsc.com/product-detail/ST-Microelectronics_STMicroelectronics_STM32F042C6T6_STM32F042C6T6_C88447.html
U3,USB_PROTECTION,Package_TO_SOT_SMD:SOT-23-6_Handsoldering,https://lcsc.com/product-detail/TVS_Silergy_CS0816_CS0816_C178230.html
